Chinese Name,English Name
巴拉圭,Paraguay
秘魯,Peru
菲律賓,Philippines
皮特康島,Pitcairn
波蘭,Poland
葡萄牙,Portugal
波多黎各,Puerto Rico
卡達,Qatar
留尼旺,Reunion
羅馬尼亞,Romania
俄羅斯,Russian Federation
盧安達,Rwanda
琉球,Ryukyu
聖巴泰勒米,Saint Barthelemy
聖克里斯多福,Saint Kitts And Nevis
聖露西亞,Saint Lucia
聖馬丁,Saint Martin
聖文森,Saint Vincent And The Grenadines
薩摩亞群島,Samoa
聖馬利諾,San Marino
聖多美及普林西比,Sao Tome And Principe
沙烏地阿拉伯,Saudi Arabia
塞內加爾,Senegal
塞爾維亞,Serbia
塞席爾,Seychelles
獅子山,Sierra Leone
新加坡,Singapore
斯洛伐克,Slovakia
斯洛凡尼亞,Slovenia
索羅門群島,Solomon Islands
索馬利亞,Somalia
南非,South Africa
南喬治亞及南桑威奇群島,South Georgia And The South Sandwich Islands
西班牙,Spain
斯里蘭卡,Srilanka
聖赫勒拿島,St. Helena
聖匹及密啟倫群島,St. Pierre And Miquelon
蘇丹,Sudan
蘇利南,Suriname
斯瓦巴及尖棉島,Svalbard And Jan Mayen
史瓦濟蘭,Swaziland
瑞典,Sweden
瑞士,Switzerland
敘利亞,Syrian Arab Republic
大溪地,Tahiti
臺灣，中華民國,"Taiwan, Republic Of China"
塔吉克,Tajikistan
坦尚尼亞,"Tanzania, United Republic Of"
泰國,Thailand
東帝汶,Timor-Leste
多哥,Togo
托克勞群島,Tokelau
東加,Tonga
千里達,Trinidad And Tobago
土庫曼,Trukmenistan
突尼西亞,Tunisia
土耳其,Turkey
土克斯及開科斯群島,Turks And Caicos Islands
吐瓦魯,Tuvalu
烏克蘭,Ukraine
阿拉伯聯合大公國,United Arab Emirtes
英國,United Kingdom
美國,United States
美屬邊疆群島,United States Minor Outlying Islands
烏拉圭,Uruguay
烏茲別克,Uzbekistan
萬那杜,Vanuatu
委內瑞拉,Venezuela
越南,Viet Nam
英屬維爾京群島,Virgin Islands British
美屬維爾京群島,Virgin Islands U.S.
沃里斯與伏塔那島,Wallis And Futuna Islands
西撒哈拉,Western Sahara
葉門,Yemen
南斯拉夫,Yugoslavia
尚比亞,Zambia
辛巴威,Zimbabwe
